Product Name;Price;Pix Price;Description
Toxoplasmose - Anticorpos IgM;180;162;Detecta anticorpos de classe IgM contra o parasita causador da Toxoplasmose. Em pessoas com suspeita clínica Toxoplasmose aguda esses anticorpos podem indicar infecção aguda/recente e ajudar a confirmar o diagnóstico. <br><br>
Rubeola - Anticorpos IgG;180;162;Detecta anticorpos de classe IgG contra o vírus da Rubéola. Esses anticorpos, quando positivos isoladamente, indicam infecção passada com imunidade atual, podendo ser detectados por toda a vida.<br><br>
Rubeola - Anticorpos IgM;180;162;Detecta anticorpos de classe IgM contra o vírus da Rubéola. Em pessoas com suspeita clínica de infecção aguda/recente, esse exame pode ajudar a confirmar o diagnóstico.<br><br>
Epstein-Barr - Anticorpos VCA IgG;180;162;Exame usado para o diagnóstico de Mononucleose Infecciosa causada pelo vírus de Epstein-Barr. Os anticorpos de classe IgG contra o capsídeo víral (VCA) são produzidos após a primeira semana de doença e permanecem detectável por toda a vida.<br><br>
Epstein-Barr - Anticorpos VCA IgM;180;162;Exame usado para o diagnóstico de Mononucleose Infecciosa causada pelo vírus de Epstein-Barr. Os anticorpos de classe IgM contra o capsídeo víral (VCA) são produzidos após a primeira semana de doença e decaem após 3-6 meses da infecção indicando, portanto, infecção aguda/recente. Sua positividade ajuda a confirmar o diagnóstico de mononucleose em pessoas com suspeita clínica da doença.<br><br>
Epstein-Barr - Anticorpos EBNA IgG;180;162;Exame usado para o diagnóstico de Mononucleose Infecciosa causada pelo vírus de Epstein-Barr. Os anticorpos de classe IgG contra o antígeno nuclear (EBNA) são produzidos após vários meses da infecção e permanecem positivos para a vida toda. Sua positividade vitualmente exclui a possibilidade de infecção agua pelo EBV e, portanto, ele ajuda a investigar possíveis falsos positivos de outros marcadores.<br><br>
Epstein-Barr - Anticorpos Heterófilos;180;162;Exame usado para o diagnóstico de Mononucleose Infecciosa. Os anticorpos heterófilos são imunoglobulinas com alvos hetero-específicos que indicam ativação disseminada de linfócitos B, eles são produzidos precocemente em casos de mononucleose infecciosa causada pelo EBV e seus níveis decaem rapidamente após 3-4 semanas.<br><br>
Hepatite A - Anticorpos IgG;180;162;Detecta anticorpos da classe IgG contra o vírus da hepatite A. Esses anticorpos são produzidos após a infecção natural pelo vírus ou por meio de vacinação. Quando positivos isoladamente, eles indicam infecção passada/resolvida ou vacinação e duram para a vida toda.<br><br>
Hepatite A - Anticorpos IgM;180;162;Detecta anticorpos da classe IgM contra o vírus da hepatite A. Esses anticorpos são produzidos durante a infecção aguda (geralmente produzidos até uma semana antes do início dos sintomas) e decaem após cerca de 2 meses. Quando positivos em pessoas com suspeita clínica de hepatite A, eles indicam, portanto, infecção aguda/recente.<br><br>
Hepatite E - Anticorpos IgG;200;180;Detecta anticorpos da classe IgG contra o vírus da hepatite E. Esses anticorpos são produzidos precocemente na infecção e permanecem positivos por toda a vida.<br><br>
Hepatite E - Anticorpos IgM;200;180;Detecta anticorpos da classe IgG contra o vírus da hepatite E. Esses anticorpos são produzidos precocemente na infecção e tornam-se negativos na fase de convalescença/cura. Eles auxiliam na confirmação do diagnóstico em paciente com suspeita clínica de hepatite E.<br><br>
SARS-CoV2 (Covid) - Antígeno;100;90;Detecta a presença do antígeno de superfície do vírus causador da COVID. Sua positividade confirma o diagnóstico de infecção aguda e pode auxiliar, ainda, na determinação do risco de transmissibiliade da doença.<br><br>
Influenza A - Antígeno;100;90;Detecta a presença de antígenos do vírus Influenza A. Quanto positivo, ele permite confirmar a presença de infecção aguda pelo vírus Influenza A com alta especificidade.<br><br>
Influenza B - Antígeno;100;90;Detecta a presença de antígenos do vírus Influenza B. Quanto positivo, ele permite confirmar a presença de infecção aguda pelo vírus Influenza A com alta especificidade.<br><br>
Vírus Parainfluenza - Antígeno;320;288;Exame usado para o diagnóstico infecções respiratórias causadas pelo vírus Parainfluenza. As infecções humanas pelo vírus parainfluenza podem se manifestar de diferentes formas, desde uma síndrome gripal até quadros graves parecidos com a coqueluche (síndrome coqueluchóide). Quando positivo, ele confirma o diagnóstico de infecção pelo vírus parainfluenza em pessoas com suspeita clínica da doença<br><br>
Vírus Metapneumovírus - Antígeno;300;270;Exame usado para o diagnóstico infecções respiratórias causadas pelo Metapneumovírus humano. As infecções humanas pelo vírus parainfluenza podem se manifestar de diferentes formas, desde uma síndrome gripal até quadros graves parecidos com a bronquiolite aguda. Quando positivo, ele confirma o diagnóstico em pessoas com suspeita clínica da doença.<br><br>
Vírus Sincitial Respiratório - Antígeno;200;180;Exame usado para o diagnóstico infecções respiratórias causadas pelo VSR. As infecções humanas pelo vírus sincitial respiratório são as principais causadoras de bronquiolites e doença respiratória aguda em bebês e pessoas idosas. A positividade do exame confirma o diagnóstico em pessoas com suspeita clínica da infecção.<br><br>
Streptococcus pneumoniae - Antígeno;240;216;Detecta a presença de antígenos da bactéria Streptococcus pneumoniae. Essa bactéria causa diversas doenças potencialmente graves nos seres humanos como pneumonias, meningites e infecções generalizadas. A positividade do exame confirma que a bactéria é a causadora da doença do paciente e, assim, permite que o tratamento seja direcionado especificamente pra ela.<br><br>
Legionella - Antígeno;300;270;Detecta a presença de antígenos da bactéria Legionalla pneumophila. Essa bactéria é uma das causas de pneumonias graves nos seres humanos e representa, na maior parte das vezes, um diagnóstico difícil de ser feito. A positividade do exame confirma que a bactéria é a causa da doença do paciente e permite, assim, com que o tratamento seja adequadamente direcionado contra ela.<br><br>
Mycoplasma - Antígeno;260;234;Detecta a presença de antígenos da bactéria Mycoplasma pneumoniae. Essa bactéria é uma das causas de várias doenças nos seres humanos, incluindo pneumonias. A positividade do exame confirma que a Mycoplasma é a causa da doença do paciente e, assim, permite que o tratamento seja adequadamente direcionado contra ela.<br><br>
Streptococcus pyogenes - Antígeno;150;135;Detecta a presença de antígenos da bactéria Streptococcus pyogenes. Essa bactéria é a principal causadora de várias infecções nos seres humanos como as faringites bacterianas, a escarlatina e as erisipelas. A positividade no exame confirma que a bactéria é a causa da doença que o paciente está apresentando e, assim, permite direcionar o tratamento contra ela.<br><br>
Procalcitonina - Dosagem;240;216;A procalcitonina é uma substância que nosso organismo produz em resposta a infecções causadas por bactérias (mas não em outras doenças e/ou infecções causadas por outros tipos de microrganismo). Desse modo, sua dosagem nos permite avaliar a probabilidade de que uma determinada doença esteja sendo causada por uma bactéria e, mais do que isso, estimar o tempo necessário de antibiótico para que ela seja tratada.<br><br>
Cryptococcus - Antígeno;260;234;Detecta a presença de antígenos do fungo Cryptococcus neoformans. Esse fungo pode causar várias doenças potencialmente graves nos seres humanos, como meningites e infecções generalizadas. A positividade no exame permite confirmar o diagnóstico em pacientes com suspeita clínica da doença e, ainda, monitorar a eficácia do tratamento.<br><br>
Lyme - Anticorpos IgG;180;162;Exame usado como ferramenta auxiliar no diagnóstico de casos humanos suspeitos de doença de Lyme, causada pela bactéria Borrelia burgdorferi. Os anticorpos de classe IgG indicam, quando encontrado isoladamente, infecção passada/resolvida.<br><br>
Lyme - Anticorpos IgM;180;162;Exame usado como ferramenta auxiliar no diagnóstico de casos humanos suspeitos de doença de Lyme, causada pela bactéria Borrelia burgdorferi. Os anticorpos de classe IgM indicam, em pacientes com suspeita clínica da doença, infecção atual/recente.<br><br>
Leishmania donovani - Antigeno;150;135;Detecta a presença de antígenos do parasita Leishmania donovani. Essa parasita é causador de doenças disseminadas nos seres humanos como o Kalazar, transmitido pela picada do mosquito-palha. A positividade do exame confirma a infecção.<br><br>
Malária - Antígeno de P vivax;180;162;Detecta a presença de antígenos do parasita Plasmodium vivax. Essa parasita é um dos causadores da Malária no Brasil e em outros países, principalmente da América Latina e Central. A identificação correta da espécie do parasita causador de quadros de malária é essencial para o tratamento correto dos pacientes.<br><br>
Malária - Antígeno de P falciparum;180;162;Detecta a presença de antígenos do parasita Plasmodium falciparum. Essa parasita é um dos causadores de formas graves de malária em algumas regiões do Brasil e, principalmente, na África e Ásia. A identificação correta da espécie do parasita causador de quadros de malá<br><br>
Malária - Antígeno Geral;180;162;Detecta a presença de antígenos do parasita causador da malária (Plasmodium spp.). Esse exame permite detectar a presença de qualquer um dos cinco principais parasitas causadores de malária no mundo (sem diferenciar entre eles). A positividade no exame confirma que o paciente tem malária e indica outros exames para identificação correta da espécie causadora.<br><br>
Microscopia - Coloração de Gram;180;162;Exame usado para o diagnóstico de doenças causadas por bactérias e alguns fungos. O exame microscópico do material corado pela coloração de gram nos permite avaliar a presença de bactérias e alguns fungos, sua morfologia e, ainda, estimar a quantidade de microrganismos causando a infecção.<br><br>
Microscopia - Coloração de Giemsa;180;162;Exame usado para o diagnóstico de doenças causadas por fungos e parasitas. O exame microscópico do material corado pela coloração de Giemsa nos permite avaliar a presença de fungos intracelulares e de parasitas (como hematozoários, por exemplo).<br><br>
Microscopia - Coloração de Kinyoun;180;162;Exame usado para o diagnóstico de doenças causadas por micobactérias e alguns fungos. O exame microscópico do material corado pela coloração de Kinyoun nos permite avaliar a presença de micobactérias (como aquelas que causam a tuberculose, por exemplo) ou de alguns parasitas (como os coccídeos).<br><br>
Microscopia - Coloração de Leishmann;180;162;Exame usado para o diagnóstico de doenças causadas por bactérias e alguns parasitas. O exame microscópico corado pela coloração de Leishmann nos permite avaliar a presença de bactérias e alguns parasitas (como as Leishmanias) no material.<br><br>
Microscopia - KOH;180;162;Exame usado para o diagnóstico de doenças causadas fungos. O exame microscópico do material tratado pelo KOH nos permite avaliar a presença de fungos filamentosos (como aqueles que causam as micoses de pele, cabelos e unhas).<br><br>
Microscopia - Coloração de Nanquim;180;162;Exame usado para o diagnóstico de infecções causadas por leveduras como o Cryptococcus. O exame microscópico do material corado pelo Nanquim nos permite avaliar a presença de fungos leveduriformes com grandes cápsulas polissacardídicas.<br><br>
